"receita";"uniorcam";"arrecadado_janeiro";"arrecadado_fevereiro";"arrecadado_marco";"arrecadado_abril";"arrecadado_maio";"arrecadado_junho";"arrecadado_julho";"arrecadado_agosto";"arrecadado_setembro";"arrecadado_outubro";"arrecadado_novembro";"arrecadado_dezembro";"meta_1bim";"meta_2bim";"meta_3bim";"meta_4bim";"meta_5bim";"meta_6bim";"caracteristica_peculiar_receita";"recurso_vinculado";"complemento_recurso_vinculado";"exercicio_base"
"00000111802330100000";"0201";90,6;0;60;0;0;0;0;0;0;0;31,2;42,54;0;0;0;0;0;0;0;1;NA;2018
"00000111802330200000";"0201";37,75;0;25;0;0;0;0;0;0;0;13;17,72;0;0;0;0;0;0;0;20;NA;2018
"00000111802330300000";"0201";22,65;0;15;0;0;0;0;0;0;0;7,8;10,63;0;0;0;0;0;0;0;40;NA;2018
"00000111802340000000";"0201";37,83;0;35,87;0;0;0;0;0;0;0;17,44;10,97;0;0;0;0;0;0;0;0;NA;2018
"00000111802340100000";"0201";22,7;0;21,52;0;0;0;0;0;0;0;10,46;6,58;0;0;0;0;0;0;0;1;NA;2018
"00000111802340200000";"0201";9,46;0;8,97;0;0;0;0;0;0;0;4,36;2,74;0;0;0;0;0;0;0;20;NA;2018
"00000111802340300000";"0201";5,67;0;5,38;0;0;0;0;0;0;0;2,62;1,65;0;0;0;0;0;0;0;40;NA;2018
"00000112000000000000";"0201";1479,73;902,14;1632,88;1102,64;1439;2200,18;894,87;8453,03;14434,99;6788,89;3389,67;2456,64;5904,48;5904,48;5904,48;5904,48;5904,48;5904,69;0;0;NA;2018
"00000112100000000000";"0201";1474,66;902,14;1632,88;1102,64;1439;2200,18;894,87;8453,03;14434,99;6721,52;3246,67;2102,64;5431,7;5431,7;5431,7;5431,7;5431,7;5431,86;0;0;NA;2018
"00000112101000000000";"0201";906,66;844,14;1266,88;864,64;256;1549,18;720,87;8221,03;14260,99;5093,52;2898,67;1986,64;4683,44;4683,44;4683,44;4683,44;4683,44;4683,54;0;0;NA;2018
"00000112101100000000";"0201";906,66;844,14;1266,88;864,64;256;1549,18;720,87;8221,03;14260,99;5093,52;2898,67;1986,64;4683,44;4683,44;4683,44;4683,44;4683,44;4683,54;0;0;NA;2018
"00000112101110000000";"0201";353;256;806;590;256;905;655;7705;14086;4936;1687;1380;4683,44;4683,44;4683,44;4683,44;4683,44;4683,54;0;1;NA;2018
"00000112101120000000";"0201";8,58;0,4;0;17,77;0;3,84;0;28,9;0;87,52;148,52;0;0;0;0;0;0;0;0;1;NA;2018
"00000112101130000000";"0201";415,88;474;339;194;0;446,26;58,28;381,93;129,93;61,93;750,93;472,53;0;0;0;0;0;0;0;1;NA;2018
"00000112101140000000";"0201";129,2;113,74;121,88;62,87;0;194,08;7,59;105,2;45,06;8,07;312,22;134,11;0;0;0;0;0;0;0;1;NA;2018
"00000112104000000000";"0201";568;58;366;238;1183;651;174;232;174;1628;348;116;748,26;748,26;748,26;748,26;748,26;748,32;0;0;NA;2018
"00000112104100000000";"0201";568;58;366;238;1183;651;174;232;174;1628;348;116;748,26;748,26;748,26;748,26;748,26;748,32;0;0;NA;2018
"00000112104110000000";"0201";568;58;366;238;1183;651;174;232;174;1628;348;116;748,26;748,26;748,26;748,26;748,26;748,32;0;1005;NA;2018
"00000112200000000000";"0201";5,07;0;0;0;0;0;0;0;0;67,37;143;354;472,78;472,78;472,78;472,78;472,78;472,83;0;0;NA;2018
"00000112201000000000";"0201";5,07;0;0;0;0;0;0;0;0;67,37;143;354;472,78;472,78;472,78;472,78;472,78;472,83;0;0;NA;2018
"00000112201100000000";"0201";5,07;0;0;0;0;0;0;0;0;67,37;143;354;472,78;472,78;472,78;472,78;472,78;472,83;0;0;NA;2018
"00000112201110000000";"0201";0;0;0;0;0;0;0;0;0;0;143;354;472,78;472,78;472,78;472,78;472,78;472,83;0;1;NA;2018
"00000112201140000000";"0201";5,07;0;0;0;0;0;0;0;0;67,37;0;0;0;0;0;0;0;0;0;1;NA;2018
"00000120000000000000";"0201";11542,66;78662,27;66971,99;71039,01;76597,36;76818,76;75869,56;76968,49;75393,77;73961,24;75756,19;191990,81;142562,59;147763,09;147353,03;157913,08;146802,84;149755,42;0;0;NA;2018
"00000121000000000000";"0201";0;67980,12;55287,08;56448,54;60918,83;60618,05;61793,29;63382,68;62167,18;61814,82;62683,97;179533,35;129462,92;129462,92;129462,92;129462,92;129462,92;129463,01;0;0;NA;2018
"00000121004000000000";"0201";0;67980,12;55287,08;56448,54;60918,83;60618,05;61793,29;63382,68;62167,18;61814,82;62683,97;179533,35;129462,92;129462,92;129462,92;129462,92;129462,92;129463,01;0;0;NA;2018
"00000121004100000000";"0201";0;0;0;0;386,38;-386,38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;2018
"00000121004120000000";"1201";0;0;0;0;386,38;-386,38;0;0;0;0;0;0;0;0;0;0;0;0;0;50;NA;2018
"00000121004200000000";"0201";0;67980,12;55287,08;56448,54;60532,45;61004,43;61793,29;63382,68;62167,18;61814,82;62683,97;179533,35;129462,92;129462,92;129462,92;129462,92;129462,92;129463,01;0;0;NA;2018
"00000121004210000000";"1201";0;67980,12;55287,08;56448,54;60532,45;61004,43;61793,29;63382,68;62167,18;61814,82;62683,97;179533,35;129462,92;129462,92;129462,92;129462,92;129462,92;129463,01;0;50;NA;2018
"00000124000000000000";"0201";11542,66;10682,15;11684,91;14590,47;15678,53;16200,71;14076,27;13585,81;13226,59;12146,42;13072,22;12457,46;13099,67;18300,17;17890,11;28450,16;17339,92;20292,41;0;0;NA;2018
"00000124000100000000";"0201";11542,66;10682,15;11684,91;14590,47;15678,53;16200,71;14076,27;13585,81;13226,59;12146,42;13072,22;12457,46;13099,67;18300,17;17890,11;28450,16;17339,92;20292,41;0;0;NA;2018
"00000124000110000000";"0201";11542,66;10682,15;11684,91;14590,47;15678,53;16200,71;14076,27;13585,81;13226,59;12146,42;13072,22;12457,46;13099,67;18300,17;17890,11;28450,16;17339,92;20292,41;0;1;NA;2018
"00000130000000000000";"0201";392741,54;524829,32;183387,68;70523,39;44483,34;75512,93;311813,02;70307,48;85715,92;795972,04;164373,75;241352,63;323969,42;574236,23;324956,73;421819,42;330624,15;325456,76;0;0;NA;2018
"00000131000000000000";"0201";15170,06;11584,35;17478,68;15178,13;13872;13872;15336,25;13872;14791,17;13872;14777,08;13872;28134,9;28134,9;28134,9;28134,9;28134,9;28135;0;0;NA;2018
"00000131001000000000";"0201";15170,06;11584,35;17478,68;15178,13;13872;13872;15336,25;13872;14791,17;13872;14777,08;13872;28134,9;28134,9;28134,9;28134,9;28134,9;28135;0;0;NA;2018
"00000131001100000000";"0201";15170,06;11584,35;17478,68;15178,13;13872;13872;15336,25;13872;14791,17;13872;14777,08;13872;28134,9;28134,9;28134,9;28134,9;28134,9;28135;0;0;NA;2018
"00000131001110000000";"0201";14517;11565;17469;14517;13872;13872;15162;13872;14517;13872;14517;13872;28134,9;28134,9;28134,9;28134,9;28134,9;28135;0;1;NA;2018
"00000131001120000000";"0201";8,06;19,35;9,68;16,13;0;0;83,86;0;109,65;0;96,75;0;0;0;0;0;0;0;0;1;NA;2018
"00000131001130000000";"0201";645;0;0;645;0;0;90,39;0;150,72;0;150,72;0;0;0;0;0;0;0;0;1;NA;2018
