"uniorcam";"funcao";"subfuncao";"programa";"obsoleto1";"projativ";"elemento";"recurso_vinculado";"dotacao_inicial";"atualizacao_monetaria";"credito_suplementar";"credito_especial";"credito_extraordinario";"reducao_dotacao";"suplementacao_recurso_vinculado";"reducao_recurso_vinculado";"empenhado";"liquidado";"pago";"limitado";"recomposto";"previsao_ate_termino";"complemento_recurso_vinculado";"exercicio_base"
"0502";12;361;2;"000";1015;"339030";20;15000;0;0;0;0;15000;0;0;0;0;0;0;0;0;NA;2018
"0502";12;361;2;"000";1015;"339039";20;15000;0;0;0;0;15000;0;0;0;0;0;0;0;0;NA;2018
"0502";12;361;2;"000";1016;"449030";20;5000;0;0;0;0;5000;0;0;0;0;0;0;0;0;NA;2018
"0502";12;361;2;"000";1016;"449039";20;5000;0;0;0;0;5000;0;0;0;0;0;0;0;0;NA;2018
"0502";12;361;2;"000";1060;"449030";20;400;0;0;0;0;400;0;0;0;0;0;0;0;0;NA;2018
"0502";12;361;2;"000";1060;"449039";20;4000;0;0;0;0;4000;0;0;0;0;0;0;0;0;NA;2018
"0502";12;361;2;"000";1060;"449052";20;10000;0;0;0;0;10000;0;0;0;0;0;0;0;0;NA;2018
"0502";12;361;2;"000";2018;"319004";20;0;0;0;5100;0;0;0;0;132,61;132,61;132,61;0;0;5100;NA;2018
"0502";12;361;2;"000";2018;"319004";31;0;0;0;1600;0;1600;0;0;0;0;0;0;0;0;NA;2018
"0502";12;361;2;"000";2018;"319011";20;13000;0;135130;0;0;1246,65;0;0;146883,35;146883,35;146883,35;0;0;146883,35;NA;2018
"0502";12;361;2;"000";2018;"319011";1072;0;0;9376,64;0;0;0;0;0;9376,64;9376,64;9376,64;0;0;9376,64;NA;2018
"0502";12;361;2;"000";2018;"319013";20;0;0;6100;0;0;584,93;0;0;5468,54;5468,54;5468,54;0;0;5515,07;NA;2018
"0502";12;361;2;"000";2018;"319016";20;600;0;0;0;0;0;0;0;208,34;208,34;208,34;0;0;600;NA;2018
"0502";12;361;2;"000";2018;"319094";20;1000;0;0;0;0;1000;0;0;0;0;0;0;0;0;NA;2018
"0502";12;361;2;"000";2018;"319113";20;4300;0;14050;0;0;2005,65;0;0;16344,35;16344,35;16344,35;0;0;16344,35;NA;2018
"0502";12;361;2;"000";2018;"319113";31;0;0;1314,21;0;0;0;0;0;1314,21;1314,21;1314,21;0;0;1314,21;NA;2018
"0502";12;361;2;"000";2018;"339030";20;10000;0;0;0;0;4802;0;0;5197,5;5197,5;5197,5;0;0;5198;NA;2018
"0502";12;361;2;"000";2018;"339036";20;500;0;0;0;0;500;0;0;0;0;0;0;0;0;NA;2018
"0502";12;361;2;"000";2018;"339039";20;10000;0;23600;0;0;20000;0;0;12678,01;12678,01;12678,01;0;0;13600;NA;2018
"0502";12;361;2;"000";2018;"339046";20;3600;0;22425,3;0;0;0;0;0;26025,3;26025,3;26025,3;0;0;26025,3;NA;2018
"0502";12;361;2;"000";2018;"339339";20;0;0;25520;0;0;0;0;0;24080;24080;24080;0;0;25520;NA;2018
"0502";12;361;2;"000";2018;"449052";20;8000;0;0;0;0;8000;0;0;0;0;0;0;0;0;NA;2018
"0502";12;361;2;"000";2019;"319004";20;0;0;3418,71;0;0;0;0;0;3418,71;3418,71;3418,71;0;0;3418,71;NA;2018
"0502";12;361;2;"000";2019;"319004";31;0;0;0;45000;0;26088,88;0;0;18911,12;18911,12;18911,12;0;0;18911,12;NA;2018
"0502";12;361;2;"000";2019;"319011";31;1690000;0;56500;0;0;11398,92;0;0;1735101,08;1735101,08;1735101,08;0;0;1735101,08;NA;2018
"0502";12;361;2;"000";2019;"319013";20;13000;0;148,01;0;0;6079,63;0;0;7068,38;7068,38;7068,38;0;0;7068,38;NA;2018
"0502";12;361;2;"000";2019;"319016";20;3000;0;400;0;0;3000;0;0;316,79;316,79;316,79;0;0;400;NA;2018
"0502";12;361;2;"000";2019;"319094";20;500;0;6700;0;0;0;0;0;7126,14;7126,14;7126,14;0;0;7200;NA;2018
"0502";12;361;2;"000";2019;"319113";20;214200;0;62884,99;0;0;215711,89;0;0;61373,1;61373,1;61373,1;0;0;61373,1;NA;2018
"0502";12;361;2;"000";2019;"319113";31;0;0;179544,1;0;0;0;0;0;179544,1;179544,1;179544,1;0;0;179544,1;NA;2018
"0502";12;361;2;"000";2019;"339030";31;51738,38;0;0;0;0;5250;0;0;43624,81;43624,81;43624,81;0;0;46488,38;NA;2018
"0502";12;361;2;"000";2019;"339030";1014;10000;0;0;0;0;632;0;0;9367,25;9367,25;9367,25;0;0;9368;NA;2018
"0502";12;361;2;"000";2019;"339030";1036;0;0;540;0;0;0;0;0;540;540;540;0;0;540;NA;2018
"0502";12;361;2;"000";2019;"339036";20;2000;0;0;0;0;2000;0;0;0;0;0;0;0;0;NA;2018
"0502";12;361;2;"000";2019;"339039";20;30000;0;34000;0;0;817,54;0;0;45124,04;45124,04;45124,04;0;0;63182,46;NA;2018
"0502";12;361;2;"000";2019;"339046";20;111000;0;0;0;0;42051,4;0;0;68948,6;68948,6;68948,6;0;0;68948,6;NA;2018
"0502";12;361;2;"000";2019;"449052";20;10000;0;7750;0;0;606;0;0;17144;17144;17144;0;0;17144;NA;2018
"0502";12;361;2;"000";2020;"319011";20;64800;0;11250;0;0;4045,56;0;0;72004,44;72004,44;72004,44;0;0;72004,44;NA;2018
"0502";12;361;2;"000";2020;"319011";1072;0;0;5102,44;0;0;0;0;0;5102,44;5102,44;5102,44;0;0;5102,44;NA;2018
"0502";12;361;2;"000";2020;"319016";20;500;0;0;0;0;0;0;0;32,09;32,09;32,09;0;0;500;NA;2018
"0502";12;361;2;"000";2020;"319094";20;500;0;0;0;0;500;0;0;0;0;0;0;0;0;NA;2018
"0502";12;361;2;"000";2020;"319113";20;9000;0;6000;0;0;962,2;0;0;14037,8;14037,8;14037,8;0;0;14037,8;NA;2018
"0502";12;361;2;"000";2020;"339030";20;40000;0;47000;0;0;31967;0;0;54977,46;54977,46;54977,46;0;0;55033;NA;2018
"0502";12;361;2;"000";2020;"339030";1001;24408;0;7367;0;0;0;0;0;25200;25200;25200;0;0;31775;NA;2018
"0502";12;361;2;"000";2020;"339030";1059;1664;0;2500;0;0;0;0;0;3871,35;3871,35;3871,35;0;0;4164;NA;2018
"0502";12;361;2;"000";2020;"339036";20;500;0;2000;0;0;2332,42;0;0;0;0;0;0;0;167,58;NA;2018
"0502";12;361;2;"000";2020;"339039";20;500;0;0;0;0;0;0;0;373,33;373,33;373,33;0;0;500;NA;2018
"0502";12;361;2;"000";2020;"339046";20;6200;0;0;0;0;565,7;0;0;5634,3;5634,3;5634,3;0;0;5634,3;NA;2018
"0502";12;361;2;"000";2020;"449052";20;500;0;550;0;0;0;0;0;1049,8;1049,8;1049,8;0;0;1050;NA;2018
"0502";12;365;2;"000";1017;"449030";20;400;0;2000;0;0;2397,5;0;0;0;0;0;0;0;2,5;NA;2018
"0502";12;365;2;"000";1017;"449039";20;1000;0;2100;0;0;0;0;0;2378,3;2378,3;2378,3;0;0;3100;NA;2018
"0502";12;365;2;"000";1017;"449052";20;4000;0;2832;0;0;0;0;0;6831,7;6831,7;6831,7;0;0;6832;NA;2018
"0502";12;365;2;"000";1018;"449030";20;5000;0;9500;0;0;16,1;0;0;14483,9;3636,47;3636,47;0;0;14483,9;NA;2018
